"id","student_id","course_id","course_schedule_id","admission_date","amount","discount","payment_status","payment_id","next_payment_date","status","created_at","updated_at"
"92","92","136","186","2022-12-12","0.00","0.00","pending","92","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"93","93","136","186","2022-12-12","0.00","0.00","pending","93","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"94","94","79","129","2022-12-12","0.00","0.00","pending","94","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"95","95","141","191","2022-12-14","0.00","0.00","pending","95","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"96","96","136","186","2022-12-14","0.00","0.00","pending","96","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"97","97","134","184","2022-12-15","0.00","0.00","pending","97","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"98","98","134","184","2022-12-16","0.00","0.00","pending","98","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"99","99","136","186","2022-12-16","0.00","0.00","pending","99","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"100","100","119","169","2022-12-19","0.00","0.00","pending","100","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"101","101","136","186","2022-12-22","0.00","0.00","pending","101","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"102","102","136","186","2022-12-22","0.00","0.00","pending","102","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"103","103","136","186","2022-12-22","0.00","0.00","pending","103","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"104","104","136","186","2022-12-23","0.00","0.00","pending","104","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"105","105","139","189","2022-12-23","0.00","0.00","pending","105","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"106","106","120","170","2022-12-23","0.00","0.00","pending","106","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"107","107","134","184","2022-12-27","0.00","0.00","pending","107","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"108","108","120","170","2022-12-27","0.00","0.00","pending","108","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"109","109","142","192","2022-12-27","0.00","0.00","pending","109","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"110","110","121","171","2022-12-28","0.00","0.00","pending","110","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"111","111","143","193","2022-12-29","0.00","0.00","pending","111","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"112","112","143","193","2022-12-29","0.00","0.00","pending","112","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"113","113","144","194","2022-12-30","0.00","0.00","pending","113","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"114","114","145","195","2022-12-30","0.00","0.00","pending","114","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"115","115","134","184","2022-12-31","0.00","0.00","pending","115","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"116","116","80","130","2022-12-31","0.00","0.00","pending","116","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"117","117","141","191","2023-01-04","0.00","0.00","pending","117","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"118","118","141","191","2023-01-04","0.00","0.00","pending","118","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"119","119","134","184","2023-01-04","0.00","0.00","pending","119","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"120","120","134","184","2023-01-04","0.00","0.00","pending","120","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"121","121","134","184","2023-01-05","0.00","0.00","pending","121","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"122","122","136","186","2023-01-05","0.00","0.00","pending","122","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"123","123","136","186","2023-01-05","0.00","0.00","pending","123","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"124","124","134","184","2023-01-05","0.00","0.00","pending","124","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"125","125","137","187","2023-01-07","0.00","0.00","pending","125","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"126","126","122","172","2023-01-09","0.00","0.00","pending","126","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"127","127","134","184","2023-01-11","0.00","0.00","pending","127","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"128","128","134","184","2023-01-13","0.00","0.00","pending","128","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"129","129","120","170","2023-01-14","0.00","0.00","pending","129","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"130","130","134","184","2023-01-14","0.00","0.00","pending","130","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"131","131","136","186","2023-01-17","0.00","0.00","pending","131","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"132","132","134","184","2023-01-17","0.00","0.00","pending","132","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"133","133","81","131","2023-01-19","0.00","0.00","pending","133","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"134","134","134","184","2023-01-20","0.00","0.00","pending","134","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"135","135","134","184","2023-01-20","0.00","0.00","pending","135","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"136","136","146","196","2023-01-24","0.00","0.00","pending","136","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"137","137","135","185","2023-01-24","0.00","0.00","pending","137","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"138","138","136","186","2023-01-25","0.00","0.00","pending","138","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"139","139","123","173","2023-01-27","0.00","0.00","pending","139","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"140","140","134","184","2023-01-28","0.00","0.00","pending","140","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"141","141","134","184","2023-01-28","0.00","0.00","pending","141","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"142","142","137","187","2023-01-29","0.00","0.00","pending","142","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"143","143","82","132","2023-01-29","0.00","0.00","pending","143","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"144","144","136","186","2023-01-29","0.00","0.00","pending","144","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"145","145","147","197","2023-01-30","0.00","0.00","pending","145","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"146","146","124","174","2023-01-30","0.00","0.00","pending","146","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"147","147","81","131","2023-01-30","0.00","0.00","pending","147","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"148","148","136","186","2023-01-30","0.00","0.00","pending","148","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"149","149","143","193","2023-01-31","0.00","0.00","pending","149","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"150","150","146","196","2023-01-31","0.00","0.00","pending","150","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"151","151","134","184","2023-01-31","0.00","0.00","pending","151","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"152","152","125","175","2023-01-31","0.00","0.00","pending","152","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"153","153","148","198","2023-01-31","0.00","0.00","pending","153","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"154","154","136","186","2023-02-01","0.00","0.00","pending","154","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"155","155","84","134","2023-02-03","0.00","0.00","pending","155","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"156","156","116","166","2023-02-04","0.00","0.00","pending","156","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"157","157","136","186","2023-02-06","0.00","0.00","pending","157","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"158","158","136","186","2023-02-06","0.00","0.00","pending","158","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"159","159","124","174","2023-02-07","0.00","0.00","pending","159","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"160","160","136","186","2023-02-08","0.00","0.00","pending","160","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"161","161","134","184","2023-02-08","0.00","0.00","pending","161","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"162","162","85","135","2023-02-11","0.00","0.00","pending","162","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"163","163","136","186","2023-02-11","0.00","0.00","pending","163","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"164","164","144","194","2023-02-13","0.00","0.00","pending","164","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
